cnty_fips,County,State,Value,theme_range
31091,Hooker,NE,202.3,190.4 - 220.8 (640)
31093,Howard,NE,139.5,56.2 - 146.9 (641)
31095,Jefferson,NE,167.7,147 - 169.4 (640)
31097,Johnson,NE,132.2,56.2 - 146.9 (641)
31099,Kearney,NE,164.5,147 - 169.4 (640)
31101,Keith,NE,143.4,56.2 - 146.9 (641)
31103,Keya Paha,NE,174.2,169.5 - 190.3 (639)
31105,Kimball,NE,142.7,56.2 - 146.9 (641)
31107,Knox,NE,164.3,147 - 169.4 (640)
31109,Lancaster,NE,130.7,56.2 - 146.9 (641)
31111,Lincoln,NE,133.9,56.2 - 146.9 (641)
31113,Logan,NE,132.9,56.2 - 146.9 (641)
31115,Loup,NE,176.5,169.5 - 190.3 (639)
31117,McPherson,NE,129.3,56.2 - 146.9 (641)
31119,Madison,NE,188.5,169.5 - 190.3 (639)
31121,Merrick,NE,137,56.2 - 146.9 (641)
31123,Morrill,NE,155.8,147 - 169.4 (640)
31125,Nance,NE,134,56.2 - 146.9 (641)
31127,Nemaha,NE,141.1,56.2 - 146.9 (641)
31129,Nuckolls,NE,185.8,169.5 - 190.3 (639)
31131,Otoe,NE,134.8,56.2 - 146.9 (641)
31133,Pawnee,NE,145.8,56.2 - 146.9 (641)
31135,Perkins,NE,140.4,56.2 - 146.9 (641)
31137,Phelps,NE,147.7,147 - 169.4 (640)
31139,Pierce,NE,164.5,147 - 169.4 (640)
31141,Platte,NE,139.5,56.2 - 146.9 (641)
31143,Polk,NE,143.2,56.2 - 146.9 (641)
31145,Red Willow,NE,153.6,147 - 169.4 (640)
31147,Richardson,NE,148.7,147 - 169.4 (640)
31149,Rock,NE,193.9,190.4 - 220.8 (640)
31151,Saline,NE,150.6,147 - 169.4 (640)
31153,Sarpy,NE,147.6,147 - 169.4 (640)
31155,Saunders,NE,146.6,56.2 - 146.9 (641)
31157,Scotts Bluff,NE,152.7,147 - 169.4 (640)
31159,Seward,NE,146.4,56.2 - 146.9 (641)
31161,Sheridan,NE,176.5,169.5 - 190.3 (639)
31163,Sherman,NE,145,56.2 - 146.9 (641)
31165,Sioux,NE,155.4,147 - 169.4 (640)
31167,Stanton,NE,150.3,147 - 169.4 (640)
31169,Thayer,NE,176.2,169.5 - 190.3 (639)
31171,Thomas,NE,96.9,56.2 - 146.9 (641)
31173,Thurston,NE,183.7,169.5 - 190.3 (639)
